match_id,inning,batting_team,team_final_score,wickets_lost,anchor_balls_faced,non_anchor_strike_rate,anchor_present,winner,match_won
335982,1,Kolkata Knight Riders,222,3,0.0,165.3225806451613,0,Kolkata Knight Riders,1
335982,2,Royal Challengers Bangalore,82,10,0.0,62.37623762376238,0,Kolkata Knight Riders,0
335983,1,Chennai Super Kings,240,5,0.0,188.70967741935485,0,Chennai Super Kings,1
335983,2,Kings XI Punjab,207,4,0.0,158.06451612903226,0,Chennai Super Kings,0
335984,1,Rajasthan Royals,129,8,0.0,100.0,0,Delhi Daredevils,0
335984,2,Delhi Daredevils,132,1,93.0,300.0,1,Delhi Daredevils,1
335985,1,Mumbai Indians,165,7,0.0,125.20325203252031,0,Royal Challengers Bangalore,0
335985,2,Royal Challengers Bangalore,166,5,33.0,143.33333333333334,1,Royal Challengers Bangalore,1
335987,1,Kings XI Punjab,166,8,0.0,132.78688524590163,0,Rajasthan Royals,0
335987,2,Rajasthan Royals,168,4,0.0,131.0924369747899,0,Rajasthan Royals,1
335988,1,Deccan Chargers,142,8,0.0,112.29508196721312,0,Delhi Daredevils,0
335988,2,Delhi Daredevils,143,1,31.0,203.84615384615384,1,Delhi Daredevils,1
335989,1,Chennai Super Kings,208,5,0.0,149.60629921259843,0,Chennai Super Kings,1
335989,2,Mumbai Indians,202,7,36.0,158.69565217391303,1,Chennai Super Kings,0
335990,1,Deccan Chargers,214,5,0.0,165.07936507936506,0,Rajasthan Royals,0
335990,2,Rajasthan Royals,217,7,0.0,172.1311475409836,0,Rajasthan Royals,1
335991,1,Kings XI Punjab,182,10,0.0,141.1290322580645,0,Kings XI Punjab,1
335991,2,Mumbai Indians,116,9,0.0,86.5079365079365,0,Kings XI Punjab,0
335992,1,Royal Challengers Bangalore,135,8,0.0,104.03225806451613,0,Rajasthan Royals,0
335992,2,Rajasthan Royals,138,3,42.0,136.5079365079365,1,Rajasthan Royals,1
335993,1,Kolkata Knight Riders,147,9,35.0,106.5934065934066,1,Chennai Super Kings,0
335993,2,Chennai Super Kings,152,1,0.0,125.23364485981307,0,Chennai Super Kings,1
335994,1,Mumbai Indians,154,7,31.0,119.14893617021276,1,Deccan Chargers,0
335994,2,Deccan Chargers,155,0,0.0,189.6103896103896,0,Deccan Chargers,1
335995,1,Delhi Daredevils,158,8,36.0,121.34831460674158,1,Kings XI Punjab,0
335995,2,Kings XI Punjab,162,6,0.0,124.39024390243902,0,Kings XI Punjab,1
335996,1,Chennai Super Kings,178,5,0.0,141.46341463414635,0,Chennai Super Kings,1
